fold,train_cutoff,test_end,Model,Variant,threshold,FNR_gap,FPR_gap,Brier_gap,n_groups
6,2011-11,2011-12,RandomForest,Structured+Text,0.6,,,,0
6,2011-11,2011-12,RandomForest,Structured+Text,0.7,,,,0
7,2012-02,2012-03,Logistic,Structured,0.5,,,,0
7,2012-02,2012-03,Logistic,Structured,0.6,,,,0
7,2012-02,2012-03,Logistic,Structured,0.7,,,,0
7,2012-02,2012-03,Logistic,Structured+Text,0.5,,,,0
7,2012-02,2012-03,Logistic,Structured+Text,0.6,,,,0
7,2012-02,2012-03,Logistic,Structured+Text,0.7,,,,0
7,2012-02,2012-03,XGBoost,Structured,0.5,,,,0
7,2012-02,2012-03,XGBoost,Structured,0.6,,,,0
7,2012-02,2012-03,XGBoost,Structured,0.7,,,,0
7,2012-02,2012-03,XGBoost,Structured+Text,0.5,,,,0
7,2012-02,2012-03,XGBoost,Structured+Text,0.6,,,,0
7,2012-02,2012-03,XGBoost,Structured+Text,0.7,,,,0
7,2012-02,2012-03,RandomForest,Structured,0.5,,,,0
7,2012-02,2012-03,RandomForest,Structured,0.6,,,,0
7,2012-02,2012-03,RandomForest,Structured,0.7,,,,0
7,2012-02,2012-03,RandomForest,Structured+Text,0.5,,,,0
7,2012-02,2012-03,RandomForest,Structured+Text,0.6,,,,0
7,2012-02,2012-03,RandomForest,Structured+Text,0.7,,,,0
8,2012-05,2012-06,Logistic,Structured,0.5,,,,0
8,2012-05,2012-06,Logistic,Structured,0.6,,,,0
8,2012-05,2012-06,Logistic,Structured,0.7,,,,0
8,2012-05,2012-06,Logistic,Structured+Text,0.5,,,,0
8,2012-05,2012-06,Logistic,Structured+Text,0.6,,,,0
8,2012-05,2012-06,Logistic,Structured+Text,0.7,,,,0
8,2012-05,2012-06,XGBoost,Structured,0.5,,,,0
8,2012-05,2012-06,XGBoost,Structured,0.6,,,,0
8,2012-05,2012-06,XGBoost,Structured,0.7,,,,0
8,2012-05,2012-06,XGBoost,Structured+Text,0.5,,,,0
8,2012-05,2012-06,XGBoost,Structured+Text,0.6,,,,0
8,2012-05,2012-06,XGBoost,Structured+Text,0.7,,,,0
8,2012-05,2012-06,RandomForest,Structured,0.5,,,,0
8,2012-05,2012-06,RandomForest,Structured,0.6,,,,0
8,2012-05,2012-06,RandomForest,Structured,0.7,,,,0
8,2012-05,2012-06,RandomForest,Structured+Text,0.5,,,,0
8,2012-05,2012-06,RandomForest,Structured+Text,0.6,,,,0
8,2012-05,2012-06,RandomForest,Structured+Text,0.7,,,,0
9,2012-08,2012-09,Logistic,Structured,0.5,,,,1
9,2012-08,2012-09,Logistic,Structured,0.6,,,,1
9,2012-08,2012-09,Logistic,Structured,0.7,,,,1
9,2012-08,2012-09,Logistic,Structured+Text,0.5,,,,1
9,2012-08,2012-09,Logistic,Structured+Text,0.6,,,,1
9,2012-08,2012-09,Logistic,Structured+Text,0.7,,,,1
9,2012-08,2012-09,XGBoost,Structured,0.5,,,,1
9,2012-08,2012-09,XGBoost,Structured,0.6,,,,1
9,2012-08,2012-09,XGBoost,Structured,0.7,,,,1
9,2012-08,2012-09,XGBoost,Structured+Text,0.5,,,,1
9,2012-08,2012-09,XGBoost,Structured+Text,0.6,,,,1
9,2012-08,2012-09,XGBoost,Structured+Text,0.7,,,,1
9,2012-08,2012-09,RandomForest,Structured,0.5,,,,1
9,2012-08,2012-09,RandomForest,Structured,0.6,,,,1
9,2012-08,2012-09,RandomForest,Structured,0.7,,,,1
9,2012-08,2012-09,RandomForest,Structured+Text,0.5,,,,1
9,2012-08,2012-09,RandomForest,Structured+Text,0.6,,,,1
9,2012-08,2012-09,RandomForest,Structured+Text,0.7,,,,1
10,2012-11,2012-12,Logistic,Structured,0.5,,,,1
10,2012-11,2012-12,Logistic,Structured,0.6,,,,1
10,2012-11,2012-12,Logistic,Structured,0.7,,,,1
10,2012-11,2012-12,Logistic,Structured+Text,0.5,,,,1
10,2012-11,2012-12,Logistic,Structured+Text,0.6,,,,1
10,2012-11,2012-12,Logistic,Structured+Text,0.7,,,,1
10,2012-11,2012-12,XGBoost,Structured,0.5,,,,1
10,2012-11,2012-12,XGBoost,Structured,0.6,,,,1
10,2012-11,2012-12,XGBoost,Structured,0.7,,,,1
10,2012-11,2012-12,XGBoost,Structured+Text,0.5,,,,1
10,2012-11,2012-12,XGBoost,Structured+Text,0.6,,,,1
10,2012-11,2012-12,XGBoost,Structured+Text,0.7,,,,1
10,2012-11,2012-12,RandomForest,Structured,0.5,,,,1
10,2012-11,2012-12,RandomForest,Structured,0.6,,,,1
10,2012-11,2012-12,RandomForest,Structured,0.7,,,,1
10,2012-11,2012-12,RandomForest,Structured+Text,0.5,,,,1
10,2012-11,2012-12,RandomForest,Structured+Text,0.6,,,,1
10,2012-11,2012-12,RandomForest,Structured+Text,0.7,,,,1
11,2013-02,2013-03,Logistic,Structured,0.5,0.4902,0.1672,0.0552,5
11,2013-02,2013-03,Logistic,Structured,0.6,0.4216,0.1053,0.0552,5
11,2013-02,2013-03,Logistic,Structured,0.7,0.2105,0.0778,0.0552,5
11,2013-02,2013-03,Logistic,Structured+Text,0.5,0.5735,0.1908,0.0506,5
11,2013-02,2013-03,Logistic,Structured+Text,0.6,0.3627,0.115,0.0506,5
11,2013-02,2013-03,Logistic,Structured+Text,0.7,0.2386,0.0802,0.0506,5
11,2013-02,2013-03,XGBoost,Structured,0.5,0.4069,0.1237,0.0372,5
11,2013-02,2013-03,XGBoost,Structured,0.6,0.4216,0.1009,0.0372,5
11,2013-02,2013-03,XGBoost,Structured,0.7,0.2353,0.0402,0.0372,5
11,2013-02,2013-03,XGBoost,Structured+Text,0.5,0.4346,0.1326,0.0318,5
11,2013-02,2013-03,XGBoost,Structured+Text,0.6,0.2794,0.0944,0.0318,5
11,2013-02,2013-03,XGBoost,Structured+Text,0.7,0.2105,0.0533,0.0318,5
11,2013-02,2013-03,RandomForest,Structured,0.5,0.1535,0.1341,0.0334,5
11,2013-02,2013-03,RandomForest,Structured,0.6,0.155,0.0588,0.0334,5
11,2013-02,2013-03,RandomForest,Structured,0.7,0.0833,0.0133,0.0334,5
11,2013-02,2013-03,RandomForest,Structured+Text,0.5,0.1961,0.0805,0.0273,5
11,2013-02,2013-03,RandomForest,Structured+Text,0.6,0.2105,0.0487,0.0273,5
11,2013-02,2013-03,RandomForest,Structured+Text,0.7,0.0833,0.0,0.0273,5
12,2013-05,2013-06,Logistic,Structured,0.5,0.375,0.3798,0.0861,12
12,2013-05,2013-06,Logistic,Structured,0.6,0.4182,0.2815,0.0861,12
12,2013-05,2013-06,Logistic,Structured,0.7,0.276,0.1204,0.0861,12
12,2013-05,2013-06,Logistic,Structured+Text,0.5,0.483,0.3218,0.0986,12
12,2013-05,2013-06,Logistic,Structured+Text,0.6,0.5682,0.2387,0.0986,12
12,2013-05,2013-06,Logistic,Structured+Text,0.7,0.3301,0.14,0.0986,12
12,2013-05,2013-06,XGBoost,Structured,0.5,0.5114,0.2496,0.0716,12
12,2013-05,2013-06,XGBoost,Structured,0.6,0.3692,0.1594,0.0716,12
12,2013-05,2013-06,XGBoost,Structured,0.7,0.2316,0.0778,0.0716,12
12,2013-05,2013-06,XGBoost,Structured+Text,0.5,0.5837,0.172,0.0586,12
12,2013-05,2013-06,XGBoost,Structured+Text,0.6,0.5026,0.1889,0.0586,12
12,2013-05,2013-06,XGBoost,Structured+Text,0.7,0.2564,0.0667,0.0586,12
12,2013-05,2013-06,RandomForest,Structured,0.5,0.4344,0.1242,0.0329,12
12,2013-05,2013-06,RandomForest,Structured,0.6,0.2274,0.0603,0.0329,12
12,2013-05,2013-06,RandomForest,Structured,0.7,0.125,0.0225,0.0329,12
12,2013-05,2013-06,RandomForest,Structured+Text,0.5,0.4121,0.1302,0.0312,12
12,2013-05,2013-06,RandomForest,Structured+Text,0.6,0.2088,0.0562,0.0312,12
12,2013-05,2013-06,RandomForest,Structured+Text,0.7,0.1053,0.0143,0.0312,12
13,2013-08,2013-09,Logistic,Structured,0.5,0.5168,0.3304,0.108,18
13,2013-08,2013-09,Logistic,Structured,0.6,0.645,0.184,0.108,18
13,2013-08,2013-09,Logistic,Structured,0.7,0.6429,0.1656,0.108,18
13,2013-08,2013-09,Logistic,Structured+Text,0.5,0.6113,0.3304,0.1109,18
13,2013-08,2013-09,Logistic,Structured+Text,0.6,0.5504,0.2142,0.1109,18
13,2013-08,2013-09,Logistic,Structured+Text,0.7,0.5,0.1827,0.1109,18
13,2013-08,2013-09,XGBoost,Structured,0.5,0.5168,0.3577,0.1031,18
13,2013-08,2013-09,XGBoost,Structured,0.6,0.5966,0.202,0.1031,18
13,2013-08,2013-09,XGBoost,Structured,0.7,0.3929,0.1091,0.1031,18
13,2013-08,2013-09,XGBoost,Structured+Text,0.5,0.5756,0.2943,0.0955,18
13,2013-08,2013-09,XGBoost,Structured+Text,0.6,0.5966,0.2349,0.0955,18
13,2013-08,2013-09,XGBoost,Structured+Text,0.7,0.4286,0.1442,0.0955,18
13,2013-08,2013-09,RandomForest,Structured,0.5,0.6555,0.1212,0.0657,18
13,2013-08,2013-09,RandomForest,Structured,0.6,0.5,0.1044,0.0657,18
13,2013-08,2013-09,RandomForest,Structured,0.7,0.1429,0.05,0.0657,18
13,2013-08,2013-09,RandomForest,Structured+Text,0.5,0.5378,0.1646,0.0663,18
13,2013-08,2013-09,RandomForest,Structured+Text,0.6,0.4286,0.1047,0.0663,18
13,2013-08,2013-09,RandomForest,Structured+Text,0.7,0.1071,0.025,0.0663,18
14,2013-11,2013-12,Logistic,Structured,0.5,0.4821,0.2773,0.0657,22
14,2013-11,2013-12,Logistic,Structured,0.6,0.5594,0.2337,0.0657,22
14,2013-11,2013-12,Logistic,Structured,0.7,0.4565,0.139,0.0657,22
14,2013-11,2013-12,Logistic,Structured+Text,0.5,0.4087,0.3016,0.0738,22
14,2013-11,2013-12,Logistic,Structured+Text,0.6,0.4783,0.2466,0.0738,22
14,2013-11,2013-12,Logistic,Structured+Text,0.7,0.4231,0.1463,0.0738,22
14,2013-11,2013-12,XGBoost,Structured,0.5,0.5923,0.2303,0.0696,22
14,2013-11,2013-12,XGBoost,Structured,0.6,0.5128,0.2199,0.0696,22
14,2013-11,2013-12,XGBoost,Structured,0.7,0.4565,0.1412,0.0696,22
14,2013-11,2013-12,XGBoost,Structured+Text,0.5,0.4654,0.2704,0.0665,22
14,2013-11,2013-12,XGBoost,Structured+Text,0.6,0.4359,0.1752,0.0665,22
14,2013-11,2013-12,XGBoost,Structured+Text,0.7,0.5,0.111,0.0665,22
14,2013-11,2013-12,RandomForest,Structured,0.5,0.4625,0.1801,0.0539,22
14,2013-11,2013-12,RandomForest,Structured,0.6,0.5,0.1033,0.0539,22
14,2013-11,2013-12,RandomForest,Structured,0.7,0.1176,0.0278,0.0539,22
14,2013-11,2013-12,RandomForest,Structured+Text,0.5,0.3623,0.1641,0.0511,22
14,2013-11,2013-12,RandomForest,Structured+Text,0.6,0.5,0.0955,0.0511,22
14,2013-11,2013-12,RandomForest,Structured+Text,0.7,0.15,0.0278,0.0511,22
