id,risk_word_count,risk_word_density,risk_word_flag,distress_debt_pressure_count,distress_liquidity_shortage_count,distress_medical_life_shock_count,distress_refinancing_burden_count
1077501,0,0.0,0,0,0,0,0
1077430,0,0.0,0,0,0,0,0
1076863,0,0.0,0,0,0,0,0
1075358,2,0.03773584905660377,1,1,0,1,0
1075269,0,0.0,0,0,0,0,0
1069639,3,0.06521739130434782,1,3,0,0,0
1072053,0,0.0,0,0,0,0,0
1071570,3,0.037037037037037035,1,1,0,2,0
1070078,2,0.046511627906976744,1,2,0,0,0
1069908,0,0.0,0,0,0,0,0
1064687,5,0.08771929824561403,1,4,0,1,0
1069866,1,0.01818181818181818,1,1,0,0,0
1069057,0,0.0,0,0,0,0,0
1069759,0,0.0,0,0,0,0,0
1065775,0,0.0,0,0,0,0,0
1069971,0,0.0,0,0,0,0,0
1062474,1,0.022727272727272728,1,0,0,1,0
1069742,0,0.0,0,0,0,0,0
1069740,49,0.14080459770114942,1,33,11,5,0
1039153,1,0.058823529411764705,1,1,0,0,0
1069710,5,0.15151515151515152,1,3,2,0,0
1069700,0,0.0,0,0,0,0,0
1069559,0,0.0,0,0,0,0,0
1069697,0,0.0,0,0,0,0,0
1069800,1,0.1111111111111111,1,1,0,0,0
1069657,3,0.08108108108108109,1,0,0,3,0
1069799,0,0.0,0,0,0,0,0
1047704,1,0.014925373134328358,1,1,0,0,0
1032111,0,0.0,0,0,0,0,0
1069539,12,0.07017543859649122,1,11,0,1,0
1065420,0,0.0,0,0,0,0,0
1069591,2,0.0425531914893617,1,2,0,0,0
1069530,0,0.0,0,0,0,0,0
1069522,3,0.05084745762711865,1,2,1,0,0
1069361,0,0.0,0,0,0,0,0
1069357,1,0.011904761904761904,1,1,0,0,0
1069356,13,0.12264150943396226,1,13,0,0,0
1069346,3,0.13636363636363635,1,3,0,0,0
1067573,1,0.04,1,0,1,0,0
1069506,2,0.2222222222222222,1,2,0,0,0
1069314,4,0.05333333333333334,1,0,3,0,1
1060578,0,0.0,0,0,0,0,0
1069469,4,0.5,1,4,0,0,0
1069465,0,0.0,0,0,0,0,0
1069283,0,0.0,0,0,0,0,0
1069287,0,0.0,0,0,0,0,0
1069453,0,0.0,0,0,0,0,0
1069248,4,0.04819277108433735,1,3,0,1,0
1068120,5,0.1724137931034483,1,4,1,0,0
1069244,0,0.0,0,0,0,0,0
1069243,0,0.0,0,0,0,0,0
1069238,7,0.05982905982905983,1,7,0,0,0
1069410,2,0.4,1,2,0,0,0
1068409,6,0.1276595744680851,1,5,1,0,0
1068487,0,0.0,0,0,0,0,0
1043961,4,0.07547169811320754,1,3,0,1,0
1068945,2,0.03773584905660377,1,1,0,1,0
1069142,1,0.04,1,1,0,0,0
1069136,3,0.13636363636363635,1,2,1,0,0
1068923,5,0.2631578947368421,1,5,0,0,0
1069126,0,0.0,0,0,0,0,0
1069102,1,0.2,1,1,0,0,0
1069093,0,0.0,0,0,0,0,0
1069030,8,0.21621621621621623,1,7,1,0,0
1069073,2,0.10526315789473684,1,2,0,0,0
1069043,4,0.09302325581395349,1,4,0,0,0
1060981,3,1.0,1,3,0,0,0
1069071,0,0.0,0,0,0,0,0
1069070,4,0.06349206349206349,1,3,1,0,0
1068893,0,0.0,0,0,0,0,0
1068882,0,0.0,0,0,0,0,0
1069039,0,0.0,0,0,0,0,0
1068416,6,0.08571428571428572,1,4,2,0,0
1048390,1,0.043478260869565216,1,1,0,0,0
1068994,0,0.0,0,0,0,0,0
1068475,2,0.2222222222222222,1,2,0,0,0
1068989,5,0.15625,1,5,0,0,0
1068967,0,0.0,0,0,0,0,0
1068744,0,0.0,0,0,0,0,0
1045509,3,1.0,1,3,0,0,0
1063958,1,0.022222222222222223,1,1,0,0,0
1041756,0,0.0,0,0,0,0,0
1068694,0,0.0,0,0,0,0,0
1068792,3,0.02158273381294964,1,3,0,0,0
1068558,1,0.02,1,1,0,0,0
1068322,1,0.08333333333333333,1,1,0,0,0
1065674,0,0.0,0,0,0,0,0
1068547,1,0.02040816326530612,1,0,0,1,0
1068545,0,0.0,0,0,0,0,0
1068575,0,0.0,0,0,0,0,0
1049528,0,0.0,0,0,0,0,0
1068542,1,0.16666666666666666,1,1,0,0,0
1068350,0,0.0,0,0,0,0,0
1067874,1,0.02040816326530612,1,1,0,0,0
1068509,4,0.11764705882352941,1,3,0,0,1
1034693,3,0.07142857142857142,1,1,2,0,0
1068508,3,0.07317073170731707,1,3,0,0,0
1066641,0,0.0,0,0,0,0,0
1068315,7,0.11864406779661017,1,5,1,0,1
1068309,0,0.0,0,0,0,0,0
1068326,8,0.11940298507462686,1,8,0,0,0
1066767,0,0.0,0,0,0,0,0
1068484,0,0.0,0,0,0,0,0
1068292,0,0.0,0,0,0,0,0
1068274,2,0.4,1,2,0,0,0
1068440,0,0.0,0,0,0,0,0
1046456,0,0.0,0,0,0,0,0
1068012,0,0.0,0,0,0,0,0
1055725,1,0.037037037037037035,1,1,0,0,0
1061814,0,0.0,0,0,0,0,0
1068232,4,0.0975609756097561,1,2,2,0,0
1068405,0,0.0,0,0,0,0,0
1068395,0,0.0,0,0,0,0,0
1068202,1,0.05263157894736842,1,1,0,0,0
1068006,0,0.0,0,0,0,0,0
1068075,10,0.15151515151515152,1,10,0,0,0
1065642,14,0.1414141414141414,1,14,0,0,0
1068179,4,0.03773584905660377,1,3,0,1,0
1068158,5,0.3333333333333333,1,5,0,0,0
1068180,0,0.0,0,0,0,0,0
1065673,5,0.05263157894736842,1,5,0,0,0
1068159,7,0.09210526315789473,1,4,3,0,0
1068165,6,0.2,1,5,1,0,0
1059689,6,0.06896551724137931,1,3,3,0,0
1066215,0,0.0,0,0,0,0,0
1063270,3,0.13043478260869565,1,3,0,0,0
1067931,0,0.0,0,0,0,0,0
1067922,5,0.04310344827586207,1,4,1,0,0
1067919,0,0.0,0,0,0,0,0
1068106,0,0.0,0,0,0,0,0
1068111,3,0.058823529411764705,1,2,1,0,0
1067655,4,0.1111111111111111,1,4,0,0,0
1061304,0,0.0,0,0,0,0,0
1068095,0,0.0,0,0,0,0,0
1067182,2,0.034482758620689655,1,2,0,0,0
822464,0,0.0,0,0,0,0,0
1063526,0,0.0,0,0,0,0,0
1068091,1,0.021739130434782608,1,1,0,0,0
1068090,7,0.058823529411764705,1,5,2,0,0
1068082,5,0.13513513513513514,1,4,0,1,0
1068078,1,0.08333333333333333,1,0,0,1,0
1057633,0,0.0,0,0,0,0,0
